basin	model	experiment	variant	year	total_tc	rate_per_year_per_realization
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2075	92	0.920000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2076	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2077	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2078	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2079	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2080	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2081	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2082	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2083	98	0.980000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2084	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2085	97	0.970000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2086	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2087	89	0.890000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2088	78	0.780000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2089	92	0.920000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2090	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2091	190	1.900000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2092	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2093	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2094	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2095	104	1.040000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2096	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2097	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2098	0	0.000000
AS	ACCESS-ESM1-5	ssp245	r1i1p1f1	2099	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2015	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2016	92	0.920000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2017	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2018	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2019	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2020	0	0.000000
